ts_utc,name,tier,source
2024-03-12T12:30:00+00:00,CPI,high,https://web.archive.org/web/20240601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2024-03-14T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20240601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2024-04-05T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20240601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2024-04-10T12:30:00+00:00,CPI,high,https://web.archive.org/web/20240601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2024-04-11T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20240601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2024-05-03T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20240601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2024-05-14T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20240601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2024-05-15T12:30:00+00:00,CPI,high,https://web.archive.org/web/20240601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2024-06-07T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20240601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2024-06-12T12:30:00+00:00,CPI,high,https://web.archive.org/web/20240601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2024-06-13T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20240601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2024-07-05T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20240601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2024-07-11T12:30:00+00:00,CPI,high,https://web.archive.org/web/20240601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2024-07-12T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20240601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2024-08-02T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20240601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2024-08-13T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20240601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2024-08-14T12:30:00+00:00,CPI,high,https://web.archive.org/web/20240601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2024-09-06T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20240601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2024-09-11T12:30:00+00:00,CPI,high,https://web.archive.org/web/20240601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2024-09-12T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20240601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2024-10-04T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20240601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2024-10-10T12:30:00+00:00,CPI,high,https://web.archive.org/web/20240601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2024-10-11T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20240601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2024-11-01T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2024-11-13T13:30:00+00:00,CPI,high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2024-11-14T13:30:00+00:00,PPI,medium,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2024-12-06T13:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2024-12-11T13:30:00+00:00,CPI,high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2024-12-12T13:30:00+00:00,PPI,medium,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2025-01-10T13:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2025-01-14T13:30:00+00:00,PPI,medium,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2025-01-15T13:30:00+00:00,CPI,high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2025-02-07T13:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2025-02-12T13:30:00+00:00,CPI,high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2025-02-13T13:30:00+00:00,PPI,medium,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2025-03-07T13:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2025-03-12T12:30:00+00:00,CPI,high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2025-03-13T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2025-04-04T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2025-04-10T12:30:00+00:00,CPI,high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2025-04-11T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2025-05-02T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2025-05-13T12:30:00+00:00,CPI,high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2025-05-15T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2025-06-06T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2025-06-11T12:30:00+00:00,CPI,high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2025-06-12T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2025-07-03T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2025-07-15T12:30:00+00:00,CPI,high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2025-07-16T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2025-08-01T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2025-08-12T12:30:00+00:00,CPI,high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2025-08-14T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2025-09-05T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2025-09-10T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2025-09-11T12:30:00+00:00,CPI,high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2025-10-03T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2025-10-15T12:30:00+00:00,CPI,high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2025-10-16T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2025-11-07T13:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2025-11-13T13:30:00+00:00,CPI,high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2025-11-14T13:30:00+00:00,PPI,medium,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2025-12-05T13:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2025-12-10T13:30:00+00:00,CPI,high,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2025-12-11T13:30:00+00:00,PPI,medium,https://web.archive.org/web/20250601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2025-12-16T13:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2025-12-18T13:30:00+00:00,CPI,high,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2026-01-09T13:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2026-01-13T13:30:00+00:00,CPI,high,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2026-01-14T13:30:00+00:00,PPI,medium,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2026-01-30T13:30:00+00:00,PPI,medium,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2026-02-11T13:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2026-02-13T13:30:00+00:00,CPI,high,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2026-02-27T13:30:00+00:00,PPI,medium,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2026-03-06T13:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2026-03-11T12:30:00+00:00,CPI,high,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2026-03-18T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2026-04-03T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2026-04-10T12:30:00+00:00,CPI,high,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2026-04-14T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2026-05-08T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2026-05-12T12:30:00+00:00,CPI,high,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2026-05-13T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2026-06-05T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2026-06-10T12:30:00+00:00,CPI,high,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2026-06-11T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20260601id_/https://www.bls.gov/schedule/news_release/ppi.htm
